34.28,69.11
41.18,19.49
36.42,3.08
-14.16,-170.43
42.31,1.32
-8.50,13.15
17.20,-61.48
-36.30,-60.00
40.10,44.31
12.32,-70.02
-35.15,149.08
48.12,16.22
40.29,49.56
25.05,-77.20
26.10,50.30
23.43,90.26
13.05,-59.30
53.52,27.30
50.51,4.21
17.18,-88.30
6.23,2.42
27.31,89.45
-16.20,-68.10
43.52,18.26
-24.45,25.57
-15.47,-47.55
18.27,-64.37
4.52,115.00
42.45,23.20
12.15,-1.30
-3.16,29.18
11.33,104.55
3.50,11.35
45.27,-75.42
15.02,-23.34
19.20,-81.24
4.23,18.35
12.10,14.59
-33.24,-70.40
39.55,116.20
4.34,-74.00
-11.40,43.16
-4.09,15.12
9.55,-84.02
6.49,-5.17
45.50,15.58
23.08,-82.22
35.10,33.25
50.05,14.22
-4.20,15.15
55.41,12.34
11.08,42.20
15.20,-61.24
18.30,-69.59
-8.29,125.34
-0.15,-78.35
30.01,31.14
13.40,-89.10
3.45,8.50
15.19,38.55
59.22,24.48
9.02,38.42
-51.40,-59.51
62.05,-6.56
-18.06,178.30
60.15,25.03
48.50,2.20
5.05,-52.18
-17.32,-149.34
0.25,9.26
13.28,-16.40
41.43,44.50
52.30,13.25
5.35,-0.06
37.58,23.46
64.10,-51.35
16.00,-61.44
14.40,-90.22
49.26,-2.33
9.29,-13.49
11.45,-15.45
6.50,-58.12
18.40,-72.20
-53.00,74.00
14.05,-87.14
47.29,19.05
64.10,-21.57
28.37,77.13
-6.09,106.49
35.44,51.30
33.20,44.30
53.21,-6.15
31.71,-35.10
41.54,12.29
18.00,-76.50
31.57,35.52
51.10,71.30
-1.17,36.48
1.30,173.00
29.30,48.00
42.54,74.46
17.58,102.36
56.53,24.08
33.53,35.31
-29.18,27.30
6.18,-10.47
32.49,13.07
47.08,9.31
54.38,25.19
49.37,6.09
22.12,113.33
-18.55,47.31
42.01,21.26
-14.00,33.48
3.09,101.41
4.00,73.28
12.34,-7.55
35.54,14.31
14.36,-61.02
-20.10,57.30
-12.48,45.14
19.20,-99.10
6.55,158.09
47.02,28.50
-25.58,32.32
16.45,96.20
-22.35,17.04
27.45,85.20
52.23,4.54
12.05,-69.00
-22.17,166.30
-41.19,174.46
12.06,-86.20
13.27,2.06
9.05,7.32
-45.20,168.43
39.09,125.30
15.12,145.45
59.55,10.45
23.37,58.36
33.40,73.10
7.20,134.28
9.00,-79.25
-9.24,147.08
-25.10,-57.30
-12.00,-77.00
14.40,121.03
52.13,21.00
38.42,-9.10
18.28,-66.07
25.15,51.35
37.31,126.58
44.27,26.10
55.45,37.35
-1.59,30.04
17.17,-62.43
14.02,-60.58
46.46,-56.12
13.10,-61.10
-13.50,-171.50
43.55,12.30
0.10,6.39
24.41,46.42
14.34,-17.29
8.30,-13.17
48.10,17.07
46.04,14.33
-9.27,159.57
2.02,45.25
-25.44,28.12
40.25,-3.45
15.31,32.35
5.50,-55.10
-26.18,31.06
59.20,18.03
46.57,7.28
33.30,36.18
38.33,68.48
13.45,100.35
6.09,1.20
-21.10,-174.00
36.50,10.11
39.57,32.54
38.00,57.50
-8.31,179.13
0.20,32.30
50.30,30.28
24.28,54.22
51.36,-0.05
-6.08,35.45
39.91,-77.02
18.21,-64.56
-34.50,-56.11
41.20,69.10
-17.45,168.18
10.30,-66.55
21.05,105.55
44.50,20.37
-15.28,28.16
-17.43,31.02
